python3 -u main.py --all --fail-only --split-results --output failures.txt
  --workers 10 --chunksize 1000
Starting search over all distributions. Output -> failures.txt
Using compact batched fast path
Resuming from failures.txt.checkpoint.sqlite3: 202677248/238878720 instances complete
Checked 202700800/238878720 instances so far
Checked 202800128/238878720 instances so far
Checked 202900480/238878720 instances so far
Checked 203000832/238878720 instances so far
Checked 203100160/238878720 instances so far
Checked 203200512/238878720 instances so far
Checked 203300864/238878720 instances so far
Checked 203400192/238878720 instances so far
Checked 203500544/238878720 instances so far
Checked 203600896/238878720 instances so far
Checked 203700224/238878720 instances so far
Checked 203800576/238878720 instances so far
Checked 203900928/238878720 instances so far
Checked 204000256/238878720 instances so far
Checked 204100608/238878720 instances so far
Checked 204200960/238878720 instances so far
Checked 204300288/238878720 instances so far
Checked 204400640/238878720 instances so far
Checked 204500992/238878720 instances so far
Checked 204600320/238878720 instances so far
Checked 204700672/238878720 instances so far
Checked 204800000/238878720 instances so far
Checked 204900352/238878720 instances so far
Checked 205000704/238878720 instances so far
Checked 205100032/238878720 instances so far
Checked 205200384/238878720 instances so far
Checked 205300736/238878720 instances so far
Checked 205400064/238878720 instances so far
Checked 205500416/238878720 instances so far
Checked 205600768/238878720 instances so far
Checked 205700096/238878720 instances so far
Checked 205800448/238878720 instances so far
Checked 205900800/238878720 instances so far
Checked 206000128/238878720 instances so far
Checked 206100480/238878720 instances so far
Checked 206200832/238878720 instances so far
Checked 206300160/238878720 instances so far
Checked 206400512/238878720 instances so far
Checked 206500864/238878720 instances so far
Checked 206600192/238878720 instances so far
Checked 206700544/238878720 instances so far
Checked 206800896/238878720 instances so far
Checked 206900224/238878720 instances so far
Checked 207000576/238878720 instances so far
Checked 207100928/238878720 instances so far
Checked 207200256/238878720 instances so far
Checked 207300608/238878720 instances so far
Checked 207400960/238878720 instances so far
Checked 207500288/238878720 instances so far
Checked 207600640/238878720 instances so far
Checked 207700992/238878720 instances so far
Checked 207800320/238878720 instances so far
Checked 207900672/238878720 instances so far
Checked 208000000/238878720 instances so far
Checked 208100352/238878720 instances so far
Checked 208200704/238878720 instances so far
Checked 208300032/238878720 instances so far
Checked 208400384/238878720 instances so far
Checked 208500736/238878720 instances so far
Checked 208600064/238878720 instances so far
Checked 208700416/238878720 instances so far
Checked 208800768/238878720 instances so far
Checked 208900096/238878720 instances so far
Checked 209000448/238878720 instances so far
Checked 209100800/238878720 instances so far
Checked 209200128/238878720 instances so far
Checked 209300480/238878720 instances so far
Checked 209400832/238878720 instances so far
Checked 209500160/238878720 instances so far
Checked 209600512/238878720 instances so far
Checked 209700864/238878720 instances so far
Checked 209800192/238878720 instances so far
Checked 209900544/238878720 instances so far
Checked 210000896/238878720 instances so far
Checked 210100224/238878720 instances so far
Checked 210200576/238878720 instances so far
Checked 210300928/238878720 instances so far
Checked 210400256/238878720 instances so far
Checked 210500608/238878720 instances so far
Checked 210600960/238878720 instances so far
Checked 210700288/238878720 instances so far
Checked 210800640/238878720 instances so far
Checked 210900992/238878720 instances so far
Checked 211000320/238878720 instances so far
Checked 211100672/238878720 instances so far
Checked 211200000/238878720 instances so far
Checked 211300352/238878720 instances so far
